,ticker,income
749,PBLA,6706396
750,PBYI,212721200
751,PCRX,1784924928
752,PCSA,9469096
753,PCVX,4513500160
754,PDCO,3190976768
755,PDEX,68628208
756,PDSB,137490768
757,PEPG,59733048
758,PETQ,876271424
759,PETS,102352936
760,PETV,13657762
761,PGEN,247275056
762,PGNY,3122541824
763,PHAR,8226420224
764,PHAT,523985824
765,PHIO,-6528849
766,PHVS,900950784
767,PHXM,18624316
768,PIII,505642976
769,PINC,2440238848
770,PIRS,-16691806
771,PLRX,492925216
772,PLSE,478667552
773,PLUR,20587094
774,PMCB,-37368696
775,PMD,18446212
776,PMN,4042838
777,PMVP,-72579592
778,PNT,1132563584
779,PNTG,739982720
780,POAI,3800047
781,POCI,38735756
782,PODD,15231649792
783,PPBT,176567792
784,PRAX,42647732
785,PRCT,1915453056
786,PRE,-29389132
787,PRFX,-4481048
788,PRLD,-10395456
789,PRME,706691776
790,PROC,576133376
791,PROF,190293904
792,PROK,1256178432
793,PRPH,95702632
794,PRPO,9328039
795,PRQR,66280284
796,PRTA,1433323264
797,PRTC,4812221440
798,PRTG,21295346
799,PRVA,2487684352
800,PSNL,-325219
801,PSTV,3300710
802,PSTX,138121296
803,PTCT,3255644928
804,PTGX,879026624
805,PTIX,-958775
806,PTPI,-6244228
807,PULM,-5702613
808,PXMD,2330119
809,PYPD,8632948
810,PYXS,-32930264
811,QDEL,7300688896
812,QIPT,262847184
813,QLGN,1866885
814,QLI,9236539
815,QNCX,-39008984
816,QNRX,-7235650
817,QSI,-4063538
818,QTRX,668376896
819,QURE,-133352640
820,RAIN,-32868438
821,RANI,63368188
822,RAPT,487907744
823,RARE,3374010112
824,RCEL,277345088
825,RCKT,2137705600
826,RCM,6121504256
827,RDHL,1452111616
828,RDNT,3886542080
829,REGN,85948956672
830,RENB,239518624
831,REPL,22277502
832,REVB,-10493237
833,RGC,118451808
834,RGEN,9861760000
835,RGLS,587607
836,RGNX,704723008
837,RIGL,265225968
838,RLAY,471741664
839,RLMD,-31019094
840,RLYB,2251478
841,RMTI,53003912
842,RNA,63031068
843,RNAC,96946472
844,RNAZ,-3459736
845,RNLX,32014232
846,RNXT,7056946
847,ROIV,8414488576
848,RPHM,-79839208
849,RPID,-39020128
850,RPRX,21372708864
851,RPTX,26430842
852,RSLS,3562145
853,RVMD,2114769792
854,RVNC,932312320
855,RVPH,81321216
856,RWLK,12008447
857,RXRX,1728573440
858,RXST,1305912192
859,RYTM,2239781632
860,RYZB,1063413760
861,RZLT,-61603976
862,SABS,43035816
863,SAGE,402826016
864,SANA,614848832
865,SAVA,1127511040
866,SBFM,-12003688
867,SCLX,246108240
868,SCNI,19655084
869,SCPH,157059088
870,SCTL,110907096
871,SCYX,-11725054
872,SDGR,2210768640
873,SEEL,22176808
874,SEER,-182447600
875,SERA,111101736
876,SGEN,42042290176
877,SGHT,56411076
878,SGMO,-20876798
879,SGMT,26020078
880,SGRY,8520414720
881,SHC,6450651648
882,SHCR,266251824
883,SHLT,137803232
884,SHPH,1999648
885,SIBN,672027200
886,SIEN,57404936
887,SIGA,353521888
888,SILK,305050720
889,SILO,-4226830
890,SINT,-2622395
891,SLDB,-16366446
892,SLGC,4175425
893,SLGL,-13771380
894,SLN,1765176832
895,SLNO,1081998848
896,SLP,726734976
897,SLRN,-78366480
898,SLRX,-4581207
899,SLS,35470332
900,SMLR,252054832
901,SMMT,1757939200
902,SMTI,332428096
903,SNCE,-24961824
904,SNDX,1012505472
905,SNGX,-981226
906,SNOA,508032
907,SNPX,-25975296
908,SNSE,-49126744
909,SNTI,14153716
910,SNY,73723789312
911,SONN,2718097
912,SOPH,167773904
913,SPOK,274269312
914,SPRB,-34576036
915,SPRC,2368387
916,SPRO,-19094888
917,SPRY,258570688
918,SRDX,532763456
919,SRPT,8497948160
920,SRRK,1183837824
921,SRTS,23427212
922,SRZN,-22758636
923,SSIC,29218762
924,SSKN,28969420
925,STAA,1571949696
926,STIM,65688240
927,STOK,18119440
928,STRM,-33734
929,STRO,-85353824
930,STRR,13477577
931,STRRP,143015168
932,STSS,1930066
933,STTK,199010976
934,SUPN,1353276544
935,SVRA,460558560
936,SWAV,6989992960
937,SWTX,1750791168
938,SXTC,-7265617
939,SXTP,11936229
940,SY,-1130976512
941,SYBX,20346796
942,SYRA,19988932
943,SYRE,243592080
944,SYRS,41462416
945,TALK,255644640
946,TARA,-50943700
947,TARS,417873184
948,TBIO,48876648
949,TBPH,465102496
950,TCBP,17813798
951,TCMD,324537472
952,TCON,-848690
953,TCRT,1500686
954,TCRX,110683400
955,TECH,12268471296
956,TELA,123405064
957,TENX,-4332913
958,TERN,134598496
959,TFFP,11898341
960,TGTX,2427120896
961,THAR,-2348630
962,THMO,5960735
963,THRD,155651504
964,THRX,-33470892
965,THTX,73603896
966,TIL,-54847252
967,TIVC,-2085712
968,TKNO,137206448
969,TLIS,-53158864
970,TLRY,1624436480
971,TLSA,43743156
972,TLSI,189532608
973,TMCI,596537280
974,TMDX,2667709184
975,TNDM,1690495488
976,TNGX,718900992
977,TNON,732622
978,TNXP,6399164
979,TNYA,33324140
980,TOI,122270224
981,TPST,88610256
982,TRDA,181837072
983,TRIB,125179920
984,TRML,424338112
985,TRVI,-5725244
986,TRVN,9541988
987,TSBX,-54621236
988,TSHA,185531296
989,TSVT,189761600
990,TTNP,-3584858
991,TTOO,40021580
992,TVTX,419343520
993,TWST,1783159168
994,TXG,6263134720
995,TXMD,23312824
996,TYRA,426840704
997,UBX,3600935
998,UFPT,1412945664
999,UNCY,6722552
1000,UPC,-16899810
1001,URGN,423385728
1002,UTHR,9865104384
1003,UTMD,218173840
1004,UTRS,60793068
1005,VALN,1501268224
1006,VANI,41136052
1007,VAXX,67509632
1008,VBIV,32022434
1009,VCEL,1749761280
1010,VCNX,6916913
1011,VCYT,1889342592
1012,VERA,523635936
1013,VERO,85000512
1014,VERU,75424992
1015,VERV,504520352
1016,VIGL,11002812
1017,VINC,-3904443
1018,VIR,-218283296
1019,VIRI,8424828
1020,VIRX,-13480103
1021,VKTX,1547652480
1022,VMD,293337408
1023,VNDA,-258513808
1024,VOR,39910704
1025,VRAX,-6538551
1026,VRCA,117672720
1027,VRDN,861028992
