,timestamp,side,size,price
2023-10-13 10:30:49,,buy,0.10084712,26788.9
2023-10-13 10:31:23,,buy,0.11573438,26789.9
2023-10-13 10:31:44,,buy,0.134,26797.9
2023-10-13 10:31:44,,sell,0.13355912,26799.7
2023-10-13 10:32:02,,buy,0.18475952,26801.3
2023-10-13 10:32:15,,sell,0.10887306,26801.4
2023-10-13 10:33:09,,buy,0.373159,26802.3
2023-10-13 10:33:09,,buy,0.16168563,26802.3
2023-10-13 10:33:09,,buy,0.13214058,26802.3
2023-10-13 10:33:21,,sell,0.15312624,26803.9
2023-10-13 10:33:21,,sell,0.14529356,26803.9
2023-10-13 10:33:21,,sell,0.13734363,26803.9
2023-10-13 10:33:21,,sell,0.34908528,26803.9
2023-10-13 10:35:13,,sell,0.11272507,26809.3
2023-10-13 10:35:23,,buy,0.28505151,26809.4
2023-10-13 10:35:23,,buy,0.16756962,26809.4
2023-10-13 10:35:23,,buy,0.11434418,26809.4
2023-10-13 10:35:24,,sell,0.1434,26809.3
2023-10-13 10:35:24,,sell,0.3507,26809.3
2023-10-13 10:35:24,,sell,0.1397,26809.3
2023-10-13 10:35:24,,sell,0.1184783,26808.4
2023-10-13 10:35:24,,sell,0.55887234,26808.4
2023-10-13 10:39:26,,sell,0.3991017,26813.0
2023-10-13 10:39:30,,sell,0.17446394,26809.0
2023-10-13 10:40:09,,sell,0.11230322,26808.2
2023-10-13 10:40:09,,sell,0.10344363,26808.2
2023-10-13 10:40:22,,sell,0.28238094,26796.0
2023-10-13 10:40:31,,buy,0.10295239,26796.1
2023-10-13 10:40:31,,buy,0.10006063,26796.1
2023-10-13 10:40:31,,buy,0.13659648,26801.7
2023-10-13 10:40:31,,buy,0.15927686,26800.4
2023-10-13 10:40:31,,buy,0.11080949,26800.4
2023-10-13 10:40:31,,buy,0.11090597,26800.5
2023-10-13 10:40:31,,buy,0.18906045,26800.4
2023-10-13 10:40:31,,buy,0.12298335,26801.6
2023-10-13 10:40:31,,buy,0.10773523,26801.6
2023-10-13 10:40:31,,buy,0.13739574,26800.8
2023-10-13 10:40:31,,buy,0.12553525,26800.6
2023-10-13 10:40:31,,buy,0.1117901,26804.0
2023-10-13 10:40:51,,buy,0.18652784,26806.0
2023-10-13 10:41:02,,buy,0.16945927,26812.4
2023-10-13 10:41:17,,sell,0.1,26815.1
2023-10-13 10:41:33,,sell,0.10197777,26819.9
2023-10-13 10:41:33,,sell,0.18646175,26819.9
2023-10-13 10:41:33,,sell,0.49495533,26819.9
2023-10-13 10:42:10,,sell,0.2464,26819.4
2023-10-13 10:43:53,,sell,0.17582928,26814.5
2023-10-13 10:45:34,,sell,0.1693208,26822.8
2023-10-13 10:45:55,,buy,0.18640823,26822.9
2023-10-13 10:45:55,,buy,0.372862,26822.9
2023-10-13 10:45:55,,buy,0.15230363,26822.9
2023-10-13 10:45:55,,buy,0.11425675,26822.9
2023-10-13 10:47:12,,sell,0.27593775,26822.9
2023-10-13 10:47:12,,sell,0.15662426,26823.9
2023-10-13 10:47:12,,sell,0.18901385,26824.0
2023-10-13 10:47:12,,sell,0.14381781,26823.4
2023-10-13 10:47:12,,sell,0.1863985,26823.4
